dispatch_no,dispatch_date,vehicle_no,grade_code,destination,tender_ref,qty_gross_t,qty_net_t,invoice_no
DR00255,2026-05-26,GJ03GA8618,PLT-D4,UKAI TPS,T-26-04,1621.27,1566.7,INV00255
DR00256,2026-05-08,GJ27GA1871,PLT-D4,SIKKA TPS,,1645.77,1591.7,INV00256
DR00257,2026-05-26,GJ07GA8405,PLT-D4,KUTCH,C-26-23,482.75,466.7,INV00257
DR00258,2026-05-02,GJ19GA7465,PLT-C3,MORBI CLUSTER,C-26-11,386.24,375.0,INV00258
DR00259,2026-05-12,GJ18GA3317,PLT-C3,ANKLESHWAR,,425.48,416.7,INV00259
DR00260,2026-07-15,GJ23GA7505,PLT-D4,VAPI,,545.5,525.0,INV00260
DR00261,2026-06-21,GJ03GA2214,PLT-D4,UKAI TPS,T-26-04,882.44,858.9,INV00261
DR00262,2026-06-16,GJ07GA7355,PLT-D4,UKAI TPS,T-26-04,734.57,707.8,INV00262
DR00263,2026-06-02,GJ21GA2430,PLT-D4,SIKKA TPS,T-26-07,746.72,725.3,INV00263
DR00264,2026-06-11,GJ27GA2664,PLT-D4,SIKKA TPS,T-26-07,899.77,866.4,INV00264
DR00265,2026-06-21,GJ22GA9592,PLT-D4,KUTCH,C-26-23,477.52,466.7,INV00265
DR00266,2026-06-18,GJ05GA3197,PLT-C3,MORBI CLUSTER,C-26-11,387.31,375.0,INV00266
DR00267,2026-06-21,GJ15GA4750,PLT-C3,ANKLESHWAR,C-26-15,431.84,416.7,INV00267
DR00268,2026-07-07,GJ10GA7770,PLT-D4,UKAI TPS,T-26-04,746.64,721.5,INV00268
DR00269,2026-07-21,GJ19GA1877,PLT-D4,UKAI TPS,T-26-04,868.51,845.2,INV00269
DR00270,2026-07-10,GJ25GA5588,PLT-D4,SIKKA TPS,T-26-07,1650.2,1591.7,INV00270
DR00271,2026-07-19,GJ27GA5469,PLT-D4,KUTCH,C-26-23,479.61,466.7,INV00271
DR00272,2026-07-27,GJ25GA2156,PLT-C3,MORBI CLUSTER,C-26-11,388.88,375.0,INV00272
DR00273,2026-07-05,GJ24GA8049,PLT-C3,ANKLESHWAR,C-26-15,425.96,416.7,INV00273
DR00274,2026-07-16,GJ04GA9211,PLT-D4,VAPI,C-26-19,545.58,533.3,INV00274
DR00275,2026-08-03,GJ07GA2853,PLT-D4,UKAI TPS,T-26-04,850.56,822.7,INV00275
DR00276,2026-08-03,GJ27GA6814,PLT-D4,UKAI TPS,T-26-04,773.06,744.0,INV00276
DR00277,2026-08-11,GJ04GA6197,PLT-D4,SIKKA TPS,,781.95,762.7,INV00277
DR00278,2026-08-12,GJ16GA6216,PLT-D4,SIKKA TPS,T-26-07,860.48,829.0,INV00278
DR00279,2026-08-07,GJ02GA8513,PLT-D4,KUTCH,C-26-23,482.46,466.7,INV00279
DR00280,2026-08-20,GJ24GA1234,PLT-C3,MORBI CLUSTER,C-26-11,388.73,375.0,INV00280
DR00281,2026-08-16,GJ13GA5695,PLT-C3,ANKLESHWAR,C-26-15,431.72,416.7,INV00281
DR00282,2026-08-22,GJ23GA2242,PLT-D4,VAPI,C-26-19,545.82,533.3,INV00282
